name,body,kind,type,category,theme,color,lat,lon,lod,dimension,description
Ahas Facula,Mercury,surface,Facula,surface,surface,#34d7d1,-21.37,89.4,4,,Ahas Facula is a bright spot on Mercury
Amaru Facula,Mercury,surface,Facula,surface,surface,#34d7d1,-49.8,349.5,4,,Amaru Facula is a bright spot on Mercury
Bibilava Faculae,Mercury,surface,Facula,surface,surface,#34d7d1,16.4,202.8,4,,Bibilava Faculae is a bright spot on Mercury
Bitin Facula,Mercury,surface,Facula,surface,surface,#34d7d1,-51.55,28.45,4,,Bitin Facula is a bright spot on Mercury
Coatl Facula,Mercury,surface,Facula,surface,surface,#34d7d1,-29.75,216.55,4,,Coatl Facula is a bright spot on Mercury
Ejo Faculae,Mercury,surface,Facula,surface,surface,#34d7d1,14.5,200.5,4,,Ejo Faculae is a bright spot on Mercury
Gata Facula,Mercury,surface,Facula,surface,surface,#34d7d1,-52.9,321.4,4,,Gata Facula is a bright spot on Mercury
Havu Facula,Mercury,surface,Facula,surface,surface,#34d7d1,-52.22,28.45,4,,Havu Facula is a bright spot on Mercury
Ibab Facula,Mercury,surface,Facula,surface,surface,#34d7d1,14.5,199.2,4,,Ibab Facula is a bright spot on Mercury
Inyoka Faculae,Mercury,surface,Facula,surface,surface,#34d7d1,14.0,197.7,4,,Inyoka Faculae is a bright spot on Mercury
Maciji Facula,Mercury,surface,Facula,surface,surface,#34d7d1,14.9,196.0,4,,Maciji Facula is a bright spot on Mercury
Madu Facula,Mercury,surface,Facula,surface,surface,#34d7d1,-21.24,74.87,4,,Madu Facula is a bright spot on Mercury
Nākahi Facula,Mercury,surface,Facula,surface,surface,#34d7d1,-52.7,342.2,4,,Nākahi Facula is a bright spot on Mercury
Nathair Facula,Mercury,surface,Facula,surface,surface,#34d7d1,36.0,295.5,4,,Nathair Facula is a bright spot on Mercury
Neidr Facula,Mercury,surface,Facula,surface,surface,#34d7d1,35.9,302.7,4,,Neidr Facula is a bright spot on Mercury
Ngu Facula,Mercury,surface,Facula,surface,surface,#34d7d1,-22.77,90.85,4,,Ngu Facula is a bright spot on Mercury
Nzoka Facula,Mercury,surface,Facula,surface,surface,#34d7d1,15.4,194.7,4,,Nzoka Facula is a bright spot on Mercury
Orm Faculae,Mercury,surface,Facula,surface,surface,#34d7d1,26.58,59.68,4,,Orm Faculae is a bright spot on Mercury
Pampu Facula,Mercury,surface,Facula,surface,surface,#34d7d1,-57.76,31.79,4,,Pampu Facula is a bright spot on Mercury
Sarpa Facula,Mercury,surface,Facula,surface,surface,#34d7d1,-53.07,30.87,4,,Sarpa Facula is a bright spot on Mercury
Serp Facula,Mercury,surface,Facula,surface,surface,#34d7d1,3.9,309.06,4,,Serp Facula is a bright spot on Mercury
Slang Faculae,Mercury,surface,Facula,surface,surface,#34d7d1,24.5,179.3,4,,Slang Faculae is a bright spot on Mercury
Suge Facula,Mercury,surface,Facula,surface,surface,#34d7d1,26.1,300.4,4,,Suge Facula is a bright spot on Mercury
Thueban Facula,Mercury,surface,Facula,surface,surface,#34d7d1,48.7,200.5,4,,Thueban Facula is a bright spot on Mercury
Ular Facula,Mercury,surface,Facula,surface,surface,#34d7d1,-55.1,29.95,4,,Ular Facula is a bright spot on Mercury
Yinshe Facula,Mercury,surface,Facula,surface,surface,#34d7d1,-46.32,191.22,4,,Yinshe Facula is a bright spot on Mercury
Zmija Facula,Mercury,surface,Facula,surface,surface,#34d7d1,-37.35,267.75,4,,Zmija Facula is a bright spot on Mercury
Shakespeare,Mercury,surface,Crater,crater,crater,#ff5faa,48.1,152.25,4,,Shakespeare is an impact crater 399 km across on Mercury
Tolstoj,Mercury,surface,Crater,crater,crater,#ff5faa,-16.23,164.64,1,,Tolstoj is an impact crater 355 km across on Mercury
Raphael,Mercury,surface,Crater,crater,crater,#ff5faa,-20.42,76.35,2,,Raphael is an impact crater 342 km across on Mercury
Homer,Mercury,surface,Crater,crater,crater,#ff5faa,-1.3,36.62,4,,Homer is an impact crater 319 km across on Mercury
Goethe,Mercury,surface,Crater,crater,crater,#ff5faa,81.1,51.03,1,,Goethe is an impact crater 317 km across on Mercury
Rachmaninoff,Mercury,surface,Crater,crater,crater,#ff5faa,27.66,302.63,1,,Rachmaninoff is an impact crater 305 km across on Mercury
Vyāsa,Mercury,surface,Crater,crater,crater,#ff5faa,49.79,84.62,4,,Vyāsa is an impact crater 297 km across on Mercury
Mendelssohn,Mercury,surface,Crater,crater,crater,#ff5faa,70.31,257.68,4,,Mendelssohn is an impact crater 291 km across on Mercury
Hafiz,Mercury,surface,Crater,crater,crater,#ff5faa,19.5,280.44,4,,Hafiz is an impact crater 280 km across on Mercury
Vieira da Silva,Mercury,surface,Crater,crater,crater,#ff5faa,1.54,123.41,4,,Vieira da Silva is an impact crater 274 km across on Mercury
Van Eyck,Mercury,surface,Crater,crater,crater,#ff5faa,43.22,159.43,4,,Van Eyck is an impact crater 271 km across on Mercury
Raditladi,Mercury,surface,Crater,crater,crater,#ff5faa,27.15,240.94,4,,Raditladi is an impact crater 258 km across on Mercury
Haydn,Mercury,surface,Crater,crater,crater,#ff5faa,-27.22,71.64,4,,Haydn is an impact crater 251 km across on Mercury
Kunisada,Mercury,surface,Crater,crater,crater,#ff5faa,1.37,246.98,4,,Kunisada is an impact crater 241 km across on Mercury
Mozart,Mercury,surface,Crater,crater,crater,#ff5faa,7.75,190.59,1,,Mozart is an impact crater 241 km across on Mercury
Pushkin,Mercury,surface,Crater,crater,crater,#ff5faa,-65.79,20.73,4,,Pushkin is an impact crater 232 km across on Mercury
Michelangelo,Mercury,surface,Crater,crater,crater,#ff5faa,-44.92,109.78,4,,Michelangelo is an impact crater 230 km across on Mercury
Rodin,Mercury,surface,Crater,crater,crater,#ff5faa,21.72,18.89,4,,Rodin is an impact crater 230 km across on Mercury
Surikov,Mercury,surface,Crater,crater,crater,#ff5faa,-36.98,124.9,4,,Surikov is an impact crater 224 km across on Mercury
Renoir,Mercury,surface,Crater,crater,crater,#ff5faa,-18.34,52.01,4,,Renoir is an impact crater 220 km across on Mercury
Manley,Mercury,surface,Crater,crater,crater,#ff5faa,-10.53,256.61,4,,Manley is an impact crater 218 km across on Mercury
Ellington,Mercury,surface,Crater,crater,crater,#ff5faa,-12.88,333.9,4,,Ellington is an impact crater 216 km across on Mercury
Bach,Mercury,surface,Crater,crater,crater,#ff5faa,-69.86,103.01,2,,Bach is an impact crater 214 km across on Mercury
Cervantes,Mercury,surface,Crater,crater,crater,#ff5faa,-76.09,124.26,4,,Cervantes is an impact crater 213 km across on Mercury
Sveinsdóttir,Mercury,surface,Crater,crater,crater,#ff5faa,-2.83,259.68,4,,Sveinsdóttir is an impact crater 213 km across on Mercury
Vivaldi,Mercury,surface,Crater,crater,crater,#ff5faa,13.76,85.92,4,,Vivaldi is an impact crater 213 km across on Mercury
Vālmiki,Mercury,surface,Crater,crater,crater,#ff5faa,-23.58,141.41,4,,Vālmiki is an impact crater 210 km across on Mercury
Copland,Mercury,surface,Crater,crater,crater,#ff5faa,37.63,287.01,4,,Copland is an impact crater 208 km across on Mercury
Hugo,Mercury,surface,Crater,crater,crater,#ff5faa,39.61,48.49,4,,Hugo is an impact crater 206 km across on Mercury
Wren,Mercury,surface,Crater,crater,crater,#ff5faa,24.84,35.95,4,,Wren is an impact crater 204 km across on Mercury
Monet,Mercury,surface,Crater,crater,crater,#ff5faa,44.23,9.77,4,,Monet is an impact crater 203 km across on Mercury
Apollonia,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,45.0,315.0,3,,Apollonia is an albedo feature — a region distinguished by its reflectivity on Mercury
Aurora,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,45.0,90.0,3,,Aurora is an albedo feature — a region distinguished by its reflectivity on Mercury
Australia,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,-72.5,360.0,3,,Australia is an albedo feature — a region distinguished by its reflectivity on Mercury
Borea,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,75.0,360.0,3,,Borea is an albedo feature — a region distinguished by its reflectivity on Mercury
Caduceata,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,45.0,135.0,3,,Caduceata is an albedo feature — a region distinguished by its reflectivity on Mercury
Cyllene,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,-41.0,270.0,3,,Cyllene is an albedo feature — a region distinguished by its reflectivity on Mercury
Gallia,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,40.0,120.0,3,,Gallia is an albedo feature — a region distinguished by its reflectivity on Mercury
Heliocaminus,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,40.0,170.0,3,,Heliocaminus is an albedo feature — a region distinguished by its reflectivity on Mercury
Hesperis,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,-45.0,355.0,3,,Hesperis is an albedo feature — a region distinguished by its reflectivity on Mercury
Liguria,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,45.0,225.0,3,,Liguria is an albedo feature — a region distinguished by its reflectivity on Mercury
Pentas,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,5.0,310.0,3,,Pentas is an albedo feature — a region distinguished by its reflectivity on Mercury
Phaethontias,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,0.0,167.0,3,,Phaethontias is an albedo feature — a region distinguished by its reflectivity on Mercury
Pieria,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,0.0,270.0,3,,Pieria is an albedo feature — a region distinguished by its reflectivity on Mercury
Pleias,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,15.0,140.0,3,,Pleias is an albedo feature — a region distinguished by its reflectivity on Mercury
Rustaveli,Mercury,surface,Crater,crater,crater,#ff5faa,52.41,277.26,4,,Rustaveli is an impact crater 200 km across on Mercury
Solitudo Admetei,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,55.0,90.0,3,,Solitudo Admetei is an albedo feature — a region distinguished by its reflectivity on Mercury
Solitudo Alarum,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,-15.0,290.0,3,,Solitudo Alarum is an albedo feature — a region distinguished by its reflectivity on Mercury
Solitudo Aphrodites,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,25.0,290.0,3,,Solitudo Aphrodites is an albedo feature — a region distinguished by its reflectivity on Mercury
Solitudo Argiphontae,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,-10.0,335.0,3,,Solitudo Argiphontae is an albedo feature — a region distinguished by its reflectivity on Mercury
Solitudo Atlantis,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,-35.0,210.0,4,,Solitudo Atlantis is an albedo feature — a region distinguished by its reflectivity on Mercury
Solitudo Criophori,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,0.0,230.0,4,,Solitudo Criophori is an albedo feature — a region distinguished by its reflectivity on Mercury
Solitudo Helii,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,-10.0,180.0,4,,Solitudo Helii is an albedo feature — a region distinguished by its reflectivity on Mercury
Solitudo Hermae Trismegisti,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,-45.0,45.0,4,,Solitudo Hermae Trismegisti is an albedo feature — a region distinguished by its reflectivity on Mercury
Solitudo Horarum,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,25.0,115.0,4,,Solitudo Horarum is an albedo feature — a region distinguished by its reflectivity on Mercury
Solitudo Iovis,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,0.0,360.0,4,,Solitudo Iovis is an albedo feature — a region distinguished by its reflectivity on Mercury
Solitudo Lycaonis,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,0.0,107.0,4,,Solitudo Lycaonis is an albedo feature — a region distinguished by its reflectivity on Mercury
Solitudo Maiae,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,-15.0,155.0,4,,Solitudo Maiae is an albedo feature — a region distinguished by its reflectivity on Mercury
Solitudo Martis,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,-35.0,100.0,4,,Solitudo Martis is an albedo feature — a region distinguished by its reflectivity on Mercury
Solitudo Neptuni,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,30.0,150.0,4,,Solitudo Neptuni is an albedo feature — a region distinguished by its reflectivity on Mercury
Solitudo Persephones,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,-41.0,225.0,4,,Solitudo Persephones is an albedo feature — a region distinguished by its reflectivity on Mercury
Solitudo Phoenicis,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,25.0,225.0,4,,Solitudo Phoenicis is an albedo feature — a region distinguished by its reflectivity on Mercury
Solitudo Promethei,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,-45.0,142.5,4,,Solitudo Promethei is an albedo feature — a region distinguished by its reflectivity on Mercury
Tricrena,Mercury,surface,Albedo Feature,surface,surface,#34d7d1,0.0,36.0,4,,Tricrena is an albedo feature — a region distinguished by its reflectivity on Mercury
Praxiteles,Mercury,surface,Crater,crater,crater,#ff5faa,27.11,60.28,2,,Praxiteles is an impact crater 198 km across on Mercury
Ma Chih-Yuan,Mercury,surface,Crater,crater,crater,#ff5faa,-60.01,78.01,4,,Ma Chih-Yuan is an impact crater 197 km across on Mercury
Larrocha,Mercury,surface,Crater,crater,crater,#ff5faa,43.29,69.83,4,,Larrocha is an impact crater 196 km across on Mercury
